id,label,x,y,z,user
5066,standing,9.4762090e-001,-1.1384480e-001,3.3599890e-001,25
5066,standing,9.7077470e-001,-1.4404460e-001,3.2208300e-001,25
5066,standing,9.7260490e-001,-1.6728410e-001,3.2141780e-001,25
5066,standing,9.5004760e-001,-1.5681100e-001,2.9580520e-001,25
5066,standing,9.4254920e-001,-1.4668430e-001,2.6009180e-001,25
5066,standing,9.2349460e-001,-1.3610640e-001,2.9898970e-001,25
5066,standing,9.3692830e-001,-1.1316840e-001,3.2829850e-001,25
5066,standing,9.6215450e-001,-1.2807250e-001,3.1072280e-001,25
5066,standing,9.8197530e-001,-1.5402090e-001,2.8591640e-001,25
5066,standing,1.0184750e+000,-1.5962390e-001,2.7168400e-001,25
5066,standing,1.0291260e+000,-1.7567340e-001,2.7227380e-001,25
5066,standing,1.0035690e+000,-1.7102160e-001,2.7825980e-001,25
5066,standing,9.5150910e-001,-1.4398890e-001,2.8932950e-001,25
5066,standing,9.3099020e-001,-1.4261280e-001,2.9272350e-001,25
5066,standing,9.5710440e-001,-1.3752850e-001,3.0663580e-001,25
5066,standing,9.6269440e-001,-1.3242240e-001,3.1927050e-001,25
5066,standing,9.7306100e-001,-1.5275920e-001,2.9838310e-001,25
5066,standing,9.8385110e-001,-1.5622460e-001,2.8132860e-001,25
5066,standing,9.7617000e-001,-1.5071170e-001,2.8301810e-001,25
5066,standing,9.8182010e-001,-1.4864810e-001,2.8607190e-001,25
5066,standing,9.7811010e-001,-1.3936060e-001,2.8890930e-001,25
5066,standing,9.7552660e-001,-1.3860700e-001,3.0591540e-001,25
5066,standing,9.7930210e-001,-1.3459510e-001,3.2387930e-001,25
5066,standing,9.6741850e-001,-1.3420930e-001,3.1498690e-001,25
5066,standing,9.5349370e-001,-1.4040010e-001,3.0069740e-001,25
5066,standing,9.4222700e-001,-1.4064870e-001,2.9213220e-001,25
5066,standing,9.5439590e-001,-1.4576740e-001,2.9447910e-001,25
5066,standing,9.7983920e-001,-1.4598800e-001,3.0689330e-001,25
5066,standing,9.8915110e-001,-1.4763830e-001,3.0526640e-001,25
5066,standing,9.9241690e-001,-1.5183980e-001,3.0216460e-001,25
5066,standing,9.8560230e-001,-1.5088860e-001,3.0175670e-001,25
5066,standing,9.7648760e-001,-1.5409810e-001,2.9938650e-001,25
5066,standing,9.7335580e-001,-1.4859910e-001,3.0007560e-001,25
5066,standing,9.6969860e-001,-1.4601830e-001,2.9223150e-001,25
5066,standing,9.7051780e-001,-1.5777360e-001,2.9096370e-001,25
5066,standing,9.6723430e-001,-1.7784630e-001,3.0740600e-001,25
5066,standing,9.6529240e-001,-1.9338090e-001,3.1971050e-001,25
5066,standing,9.6897210e-001,-1.6650090e-001,3.1528190e-001,25
5066,standing,9.6750450e-001,-1.3562580e-001,3.0834600e-001,25
5066,standing,9.6967080e-001,-1.4698300e-001,3.1378530e-001,25
5066,standing,9.7555270e-001,-1.5144860e-001,3.1248850e-001,25
5066,standing,9.7985200e-001,-1.4135280e-001,3.0554290e-001,25
5066,standing,9.7660090e-001,-1.4652140e-001,3.0786430e-001,25
5066,standing,9.6653200e-001,-1.4571280e-001,3.0491210e-001,25
5066,standing,9.6653090e-001,-1.3629420e-001,3.0215710e-001,25
5066,standing,9.6824790e-001,-1.3700400e-001,3.0179980e-001,25
5066,standing,9.6950600e-001,-1.4101460e-001,3.0047170e-001,25
5066,standing,9.7705510e-001,-1.4605570e-001,3.0644600e-001,25
5066,standing,9.7704160e-001,-1.4650750e-001,3.0693910e-001,25
5066,standing,9.7450050e-001,-1.4462300e-001,3.0282470e-001,25
5066,standing,9.7439290e-001,-1.5073440e-001,2.9980440e-001,25
5066,standing,9.7286150e-001,-1.4825610e-001,2.9753490e-001,25
5066,standing,9.7428920e-001,-1.4593700e-001,3.0002140e-001,25
5066,standing,9.7545600e-001,-1.5469550e-001,2.9893200e-001,25
5066,standing,9.7664900e-001,-1.5726630e-001,2.9982080e-001,25
5066,standing,9.7678820e-001,-1.5757420e-001,3.0127540e-001,25
5066,standing,9.7458040e-001,-1.5624270e-001,2.9873380e-001,25
5066,standing,9.7423230e-001,-1.5390190e-001,3.0172490e-001,25
5066,standing,9.7328440e-001,-1.5492260e-001,3.0226240e-001,25
5066,standing,9.7336180e-001,-1.5483440e-001,3.0340510e-001,25
5066,standing,9.7412750e-001,-1.5557900e-001,3.0683180e-001,25
5066,standing,9.7318380e-001,-1.4959020e-001,3.0320020e-001,25
5066,standing,9.7412010e-001,-1.4298030e-001,3.0125390e-001,25
5066,standing,9.7551780e-001,-1.4457140e-001,3.0237600e-001,25
5066,standing,9.7666400e-001,-1.4443510e-001,3.0408980e-001,25
5066,standing,9.7651810e-001,-1.4400130e-001,3.0570960e-001,25
5066,standing,9.7402090e-001,-1.4055540e-001,3.0479940e-001,25
5066,standing,9.7329020e-001,-1.3287780e-001,3.0319850e-001,25
5066,standing,9.7375780e-001,-1.2922830e-001,3.0040210e-001,25
5066,standing,9.7453470e-001,-1.3311430e-001,3.0094850e-001,25
5066,standing,9.7576630e-001,-1.4245470e-001,3.0253900e-001,25
5066,standing,9.7666960e-001,-1.4679370e-001,3.0175280e-001,25
5066,standing,9.7808970e-001,-1.4813320e-001,3.0409670e-001,25
5066,standing,9.7596660e-001,-1.5064270e-001,3.0430410e-001,25
5066,standing,9.6932010e-001,-1.4923550e-001,3.0092250e-001,25
5066,standing,9.6567940e-001,-1.4424900e-001,2.9910060e-001,25
5066,standing,9.6970940e-001,-1.3895870e-001,2.9893890e-001,25
5066,standing,9.7391840e-001,-1.3911830e-001,3.0218110e-001,25
5066,standing,9.6945460e-001,-1.3868710e-001,3.0505120e-001,25
5066,standing,9.6679510e-001,-1.3583740e-001,3.0302900e-001,25
5066,standing,9.7245050e-001,-1.4361500e-001,3.0117320e-001,25
5066,standing,9.7488980e-001,-1.5574890e-001,3.0163080e-001,25
5066,standing,9.7342830e-001,-1.5974150e-001,2.9960990e-001,25
5066,standing,9.7405150e-001,-1.5920580e-001,2.9807980e-001,25
5066,standing,9.7784830e-001,-1.6062020e-001,3.0010500e-001,25
5066,standing,9.8308990e-001,-1.5835060e-001,3.0177490e-001,25
5066,standing,9.8324940e-001,-1.4820340e-001,3.0408390e-001,25
5066,standing,9.7760850e-001,-1.4152230e-001,3.0087510e-001,25
5066,standing,9.7303950e-001,-1.4121550e-001,2.9429190e-001,25
5066,standing,9.7369920e-001,-1.4341030e-001,2.9796520e-001,25
5066,standing,9.7434320e-001,-1.4845980e-001,3.0040010e-001,25
5066,standing,9.7187700e-001,-1.5303710e-001,2.9710730e-001,25
5066,standing,9.7208970e-001,-1.5862020e-001,2.9833220e-001,25
5066,standing,9.7402970e-001,-1.6709310e-001,2.9983370e-001,25
5066,standing,9.7889780e-001,-1.7120220e-001,2.9936530e-001,25
5066,standing,9.8462100e-001,-1.6551430e-001,2.9786480e-001,25
5066,standing,9.7713310e-001,-1.5966510e-001,3.0007180e-001,25
